date,code,price,coupon,yield_measure_used,yield_pct,current_yield_pct,flags
1846-07-04,S-2080,92.75,6.0,ytm,6.7831297814175295,6.46900269541779,
1846-07-11,S-2080,92.0,6.0,ytm,6.868396993092239,6.521739130434782,
1846-07-18,S-2080,92.25,6.0,ytm,6.841017717319266,6.504065040650407,
1846-07-25,S-2080,93.75,6.0,ytm,6.673673002602729,6.4,
1846-08-01,S-2080,93.0,6.0,ytm,6.758216838479616,6.451612903225806,
1846-08-08,S-2080,93.25,6.0,ytm,6.730936474210574,6.434316353887399,
1846-08-15,S-2080,93.5,6.0,ytm,6.703673565209392,6.417112299465241,
1846-08-22,S-2080,93.75,6.0,ytm,6.676427815970386,6.4,
1846-08-29,S-2080,93.25,6.0,ytm,6.733183269004248,6.434316353887399,
1846-09-05,S-2080,93.25,6.0,ytm,6.733936510114005,6.434316353887399,
1846-09-12,S-2080,93.875,6.0,ytm,6.6645157463686795,6.391478029294275,
1846-09-19,S-2080,93.75,6.0,ytm,6.679214424381033,6.4,
1846-09-26,S-2080,93.75,6.0,ytm,6.679916109058224,6.4,
1846-10-03,S-2080,93.75,6.0,ytm,6.680619824240888,6.4,
1846-10-10,S-2080,93.5,6.0,ytm,6.709494078135555,6.417112299465241,
1846-10-17,S-2080,93.875,6.0,ytm,6.667961770772187,6.391478029294275,
1846-10-24,S-2080,94.0,6.0,ytm,6.65458888087508,6.382978723404255,
1846-11-07,S-2080,93.25,6.0,ytm,6.740814481246763,6.434316353887399,
1846-11-14,S-2080,92.25,6.0,ytm,6.855883912796858,6.504065040650407,
1846-11-21,S-2080,92.5,6.0,ytm,6.828066483526913,6.486486486486487,
1846-11-28,S-2080,92.75,6.0,ytm,6.800265912867156,6.46900269541779,
1846-12-05,S-2080,93.125,6.0,ytm,6.758196512987342,6.442953020134229,
1846-12-12,S-2080,94.5,6.0,ytm,6.6029043235969,6.349206349206349,
1846-12-18,S-2080,90.0,6.0,ytm,7.123168062954529,6.666666666666667,
1846-12-30,S-2080,91.5,6.0,ytm,6.948935000687095,6.557377049180328,
1847-01-02,S-2080,91.5,6.0,ytm,6.949366399336451,6.557377049180328,
1847-01-09,S-2080,92.0,6.0,ytm,6.89214135021097,6.521739130434782,
1847-01-16,S-2080,92.0,6.0,ytm,6.893091062750899,6.521739130434782,
1847-01-23,S-2080,92.0,6.0,ytm,6.8940435886584845,6.521739130434782,
1847-01-30,S-2080,94.75,6.0,ytm,6.57904937867594,6.33245382585752,
1847-02-13,S-2080,95.0,6.0,ytm,6.55194964440448,6.315789473684211,
1847-02-27,S-2080,95.0,6.0,ytm,6.5531377597035245,6.315789473684211,
1847-03-06,S-2080,94.75,6.0,ytm,6.582167573439858,6.33245382585752,
1847-03-13,S-2080,95.0,6.0,ytm,6.554332987944276,6.315789473684211,
1847-03-20,S-2080,95.0,6.0,ytm,6.554933289408664,6.315789473684211,
1847-03-27,S-2080,95.125,6.0,ytm,6.541300021170657,6.307490144546649,
1847-04-03,S-2080,95.25,6.0,ytm,6.527655860184536,6.299212598425196,
1847-04-10,S-2080,96.25,6.0,ytm,6.414899170152337,6.233766233766234,
1847-04-21,S-2080,98.0,6.0,ytm,6.219700236517831,6.122448979591836,
1847-04-24,S-2080,98.75,6.0,ytm,6.136858602511652,6.075949367088607,
1847-05-01,S-2080,97.5,6.0,ytm,6.275751342953733,6.153846153846154,
1847-05-08,S-2080,98.75,6.0,ytm,6.137158909490309,6.075949367088607,
1847-05-15,S-2080,99.75,6.0,ytm,6.027324467678226,6.015037593984962,
1847-05-22,S-2080,100.75,6.0,ytm,5.918345059943164,5.955334987593052,
1847-05-29,S-2080,101.25,6.0,ytm,5.86409667836889,5.9259259259259265,
1847-06-05,S-2080,101.0,6.0,ytm,5.891021704020719,5.9405940594059405,
1847-06-12,S-2080,101.5,6.0,ytm,5.836757463377049,5.911330049261084,
1847-06-19,S-2080,99.75,6.0,ytm,6.0274759260388,6.015037593984962,
1847-07-03,S-2080,100.25,6.0,ytm,5.972531597277773,5.985037406483791,
1847-07-10,S-2080,100.75,6.0,ytm,5.9177082211998995,5.955334987593052,
1847-07-17,S-2080,100.25,6.0,ytm,5.972470140735419,5.985037406483791,
1847-07-24,S-2080,100.5,6.0,ytm,5.944947270907239,5.970149253731343,
1847-07-31,S-2080,101.0,6.0,ytm,5.890045036005777,5.9405940594059405,
1847-08-07,S-2080,101.0,6.0,ytm,5.889921254653883,5.9405940594059405,
1847-08-14,S-2080,100.25,6.0,ytm,5.972346086295514,5.985037406483791,
1847-09-04,S-2080,100.25,6.0,ytm,5.972252032804397,5.985037406483791,
1847-09-11,S-2080,100.25,6.0,ytm,5.972220486349793,5.985037406483791,
1847-09-18,S-2080,100.375,6.0,ytm,5.958309286398164,5.9775840597758405,
1847-10-02,S-2080,100.25,6.0,ytm,5.972125254696716,5.985037406483791,
1847-10-09,S-2080,98.75,6.0,ytm,6.140586523393777,6.075949367088607,
1847-10-16,S-2080,100.0,6.0,ytm,6.0,6.0,
1847-10-23,S-2080,99.0,6.0,ytm,6.112586286473914,6.0606060606060606,
1847-10-30,S-2080,98.0,6.0,ytm,6.226570700254911,6.122448979591836,
1847-11-06,S-2080,98.5,6.0,ytm,6.169695786658556,6.091370558375635,
1847-11-13,S-2080,98.0,6.0,ytm,6.227094956788098,6.122448979591836,
1847-11-20,S-2080,98.0,6.0,ytm,6.227358329053245,6.122448979591836,
1847-12-04,S-2080,99.25,6.0,ytm,6.084921721019682,6.045340050377834,
1847-12-11,S-2080,99.5,6.0,ytm,6.056609507419776,6.030150753768844,
1847-12-25,S-2080,97.5,6.0,ytm,6.286583431850293,6.153846153846154,
1848-01-01,S-2080,95.0,6.0,ytm,6.581196581196582,6.315789473684211,
1848-01-08,S-2080,96.5,6.0,ytm,6.404206846504877,6.217616580310881,
1848-01-15,S-2080,95.0,6.0,ytm,6.582565980597567,6.315789473684211,
1848-01-22,S-2080,95.25,6.0,ytm,6.553381813954881,6.299212598425196,
