date,state,code,price,coupon,yield_measure_used,yield,current_yield,bucket,series_label,excluded_near_maturity,excluded_past_maturity,active_default_override,segment
1843-09-09,Pennsylvania,S-2330,57.0,5.0,current_yield,8.771929824561402,8.771929824561402,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-16,Pennsylvania,S-2330,56.75,5.0,current_yield,8.81057268722467,8.81057268722467,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-16,Pennsylvania,S-2410,62.0,6.0,current_yield,9.67741935483871,9.67741935483871,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-23,Pennsylvania,S-2410,63.0,6.0,current_yield,9.523809523809524,9.523809523809524,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-23,Pennsylvania,S-2330,58.625,5.0,current_yield,8.528784648187633,8.528784648187633,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-30,Pennsylvania,S-2410,66.0,6.0,current_yield,9.090909090909092,9.090909090909092,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-30,Pennsylvania,S-2330,62.0,5.0,current_yield,8.064516129032258,8.064516129032258,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-10-07,Pennsylvania,S-2410,64.0,6.0,current_yield,9.375,9.375,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-10-07,Pennsylvania,S-2330,61.125,5.0,current_yield,8.1799591002045,8.1799591002045,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-10-21,Pennsylvania,S-2330,60.5,5.0,current_yield,8.264462809917356,8.264462809917356,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-10-21,Pennsylvania,S-2410,64.0,6.0,current_yield,9.375,9.375,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-10-28,Pennsylvania,S-2410,65.0,6.0,current_yield,9.230769230769232,9.230769230769232,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-10-28,Pennsylvania,S-2330,60.5,5.0,current_yield,8.264462809917356,8.264462809917356,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-11-04,Pennsylvania,S-2330,62.25,5.0,current_yield,8.032128514056225,8.032128514056225,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-11-04,Pennsylvania,S-2410,64.0,6.0,current_yield,9.375,9.375,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-11-18,Pennsylvania,S-2410,72.0,6.0,current_yield,8.333333333333332,8.333333333333332,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-11-18,Pennsylvania,S-2330,67.5,5.0,current_yield,7.4074074074074066,7.4074074074074066,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-09,Pennsylvania,S-2330,67.5,5.0,current_yield,7.4074074074074066,7.4074074074074066,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-09,Pennsylvania,S-2410,73.0,6.0,current_yield,8.21917808219178,8.21917808219178,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-16,Pennsylvania,S-2410,73.0,6.0,current_yield,8.21917808219178,8.21917808219178,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-16,Pennsylvania,S-2330,67.5,5.0,current_yield,7.4074074074074066,7.4074074074074066,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-23,Pennsylvania,S-2330,67.5,5.0,current_yield,7.4074074074074066,7.4074074074074066,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-23,Pennsylvania,S-2410,73.0,6.0,current_yield,8.21917808219178,8.21917808219178,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-30,Pennsylvania,S-2330,67.5,5.0,current_yield,7.4074074074074066,7.4074074074074066,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-12-30,Pennsylvania,S-2410,72.0,6.0,current_yield,8.333333333333332,8.333333333333332,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-01-06,Pennsylvania,S-2410,70.0,6.0,current_yield,8.571428571428571,8.571428571428571,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-01-06,Pennsylvania,S-2330,65.5,5.0,current_yield,7.633587786259542,7.633587786259542,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-01-13,Pennsylvania,S-2410,69.5,6.0,current_yield,8.633093525179856,8.633093525179856,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-01-13,Pennsylvania,S-2330,65.75,5.0,current_yield,7.604562737642586,7.604562737642586,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-01-20,Pennsylvania,S-2330,63.25,5.0,current_yield,7.905138339920949,7.905138339920949,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
